ctime,schemaname,relname,seq_scan,seq_tup_read,idx_scan,idx_tup_fetch,n_tup_ins,n_tup_upd,n_tup_del,n_tup_hot_upd,n_live_tup,n_dead_tup,heap_blks_read,heap_blks_hit,idx_blks_read,idx_blks_hit,toast_blks_read,toast_blks_hit,tidx_blks_read,tidx_blks_hit
1440257484.40527,pg_catalog,pg_attrdef,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0
1440257484.40527,pg_catalog,pg_db_role_setting,0,0,14468,0,0,0,0,0,0,0,0,0,8,14466,0,0,0,0
1440257484.40527,pg_catalog,pg_tablesample_method,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440257484.40527,pg_catalog,pg_description,0,0,293,0,0,0,0,0,0,0,0,0,21,611,0,0,0,0
1440257484.40527,pg_catalog,pg_foreign_data_wrapper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440257484.40527,pg_catalog,pg_conversion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440257484.40527,information_schema,sql_implementation_info,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1440257484.40527,pg_catalog,pg_class,3536,1091189,154825,170314,118,16,108,16,334,120,135,186588,88,242654,,,,
1440257484.40527,pg_catalog,pg_opfamily,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440257484.40527,pg_catalog,pg_auth_members,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440257484.40527,pg_catalog,pg_operator,0,0,11607,42309,0,0,0,0,0,0,114,30983,74,26972,,,,
1440257484.40527,pg_catalog,pg_attribute,132,900,91493,165198,624,20,480,7,2689,495,333,96131,110,188957,,,,
1440257484.40527,public,customer,0,0,,,0,0,0,0,0,0,0,0,,,,,,
1440257484.40527,pg_catalog,pg_tablespace,2,4,2383,2383,0,0,0,0,0,0,8,2377,22,4753,,,,
1440257484.40527,pg_catalog,pgxc_group,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440257484.40527,pg_toast,pg_toast_3592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440257484.40527,pg_catalog,pg_statistic,0,0,13592,10208,126,187,126,25,421,192,115,11102,38,30163,4684,123386,84,27060
1440257484.40527,information_schema,sql_packages,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1440257484.40527,pg_catalog,pg_aggregate,0,0,832,832,0,0,0,0,0,0,6,826,12,1524,,,,
1440257484.40527,pg_catalog,pg_inherits,0,0,56,0,0,0,0,0,0,0,0,0,9,71,,,,
1440257484.40527,pg_catalog,pg_policy,0,0,6,0,0,0,0,0,0,0,0,0,4,14,,,,
1440257484.40527,pg_catalog,pg_enum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440257484.40527,pg_catalog,pg_replication_origin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440257484.40527,pg_toast,pg_toast_2396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440257484.40527,pg_catalog,pg_pltemplate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440257484.40527,pg_toast,pg_toast_2618,0,0,1767,5648,0,0,0,0,0,0,41,2777,14,2820,,,,
1440257484.40527,pg_toast,pg_toast_3596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440257484.40527,pg_toast,pg_toast_13156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440257484.40527,pg_toast,pg_toast_2606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440257484.40527,pg_toast,pg_toast_13161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440257484.40527,pg_catalog,pg_transform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440257484.40527,pg_toast,pg_toast_2964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440257484.40527,pg_catalog,pg_database,1070,4232,14723,14721,1,0,0,0,1,0,9,16137,32,21919,,,,
1440257484.40527,public,supplier,0,0,,,0,0,0,0,0,0,0,0,,,,,,
1440257484.40527,pg_toast,pg_toast_2620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440257484.40527,pg_catalog,pg_depend,0,0,2380,2813,420,0,382,0,38,382,103,2991,171,6697,,,,
1440257484.40527,pg_catalog,pg_language,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440257484.40527,pg_catalog,pg_amproc,24,48,10413,16472,0,0,0,0,0,0,36,10381,27,24052,,,,
1440257484.40527,pg_catalog,pgxc_node,3640,32600,38821,38797,8,1,0,1,8,1,12,42447,36,45358,,,,
1440257484.40527,pg_catalog,pg_collation,0,0,685,667,0,0,0,0,0,0,9,658,29,1989,,,,
1440257484.40527,information_schema,sql_sizing_profiles,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0
1440257484.40527,public,lineitem,0,0,,,0,0,0,0,0,0,0,0,,,,,,
1440257484.40527,pg_catalog,pg_range,0,0,228,0,0,0,0,0,0,0,0,0,12,444,,,,
1440257484.40527,pg_toast,pg_toast_2609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440257484.40527,pg_toast,pg_toast_13146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
1440257484.40527,pg_catalog,pg_opclass,24,24,12816,142309,0,0,0,0,0,0,23,54501,32,17564,,,,
1440257484.40527,public,orders,0,0,,,0,0,0,0,0,0,0,0,,,,,,
