ctime,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,735,0,967,33342,350405,8600,0,0,0
946684800,8,15131,15,202028897,475134013,9066949901,1391371374,245281653,189,754677
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,737,0,972,33412,351407,8611,0,0,0
946684800,20,15252,15,202039472,475166962,9066957694,1391375088,245719780,270,754685
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,739,0,972,33487,352409,8622,0,0,0
946684800,28,15320,15,202051259,475198015,9066965843,1391377613,246281606,270,754685
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,741,0,972,33562,353411,8633,0,0,0
946684800,35,15380,15,202082485,475252839,9066973450,1391380313,246719511,277,755060
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,743,0,972,33637,354413,8644,0,0,0
946684800,43,15452,15,202100607,475292591,9066975423,1391381227,247904525,278,755060
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,745,0,972,33712,355415,8655,0,0,0
946684800,46,15506,16,202145076,475335152,9066981588,1391382966,248529798,279,755060
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,747,0,972,33787,356417,8666,0,0,0
946684800,44,15554,17,202190185,475407984,9069487408,1391386693,248780202,286,755445
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,749,0,972,33862,357419,8677,0,0,0
946684800,43,15619,18,202195543,475619619,9078489978,1391390577,248780231,306,755445
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,751,0,972,33937,358421,8688,0,0,0
946684800,41,15661,18,202261409,475846024,9078501349,1391394883,248780815,322,756028
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,753,0,972,34012,359423,8699,0,0,0
946684800,44,15677,18,202261409,475849145,9078504274,1391395693,248780815,322,756028
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,755,0,972,34087,360425,8710,0,0,0
946684800,43,15698,18,202261409,475853541,9078509686,1391397125,248780815,322,756028
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,757,0,972,34162,361427,8721,0,0,0
946684800,42,15725,18,202305506,475961931,9078517444,1391399517,250655815,322,756028
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,759,0,972,34237,362429,8732,0,0,0
946684800,43,15787,18,202606331,476683860,9078523440,1391401404,264085235,322,756028
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,761,0,972,34312,363431,8743,0,0,0
946684800,43,15865,19,203229357,477673119,9088514738,1391402769,283609846,322,756028
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,763,0,972,34387,364433,8754,0,0,0
946684800,42,15925,19,203739426,479019237,9123497459,1391404876,290173242,324,756028
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,765,0,972,34462,365435,8765,0,0,0
946684800,36,15989,21,204869657,479296347,9191005610,1391409855,292518212,325,756028
946684800,0,0,0,0,0,0,0,0,0,0
