ctime,pid,usesysid,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
946684800,9035,10,pgxc,10.93.131.148,38179,2015-08-22 11:31:19.57021-04,,2015-08-22 11:31:24.357115-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-22 11:31:24.362303-04
946684800,9036,10,pgxc,10.93.131.148,38261,2015-08-22 11:31:24.3238-04,2015-08-22 11:31:24.300488-04,2015-08-22 11:31:24.307653-04,f,COPY public.customer FROM STDIN DELIMITER AS '|',active,2015-08-22 11:31:24.364835-04
946684800,9037,10,pgxc,10.93.131.148,38283,2015-08-22 11:31:24.38101-04,,,f,"",idle,2015-08-22 11:31:24.4242-04
946684800,9038,10,psql,10.93.131.148,38290,2015-08-22 11:31:24.389846-04,,2015-08-22 11:31:24.518227-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 11:31:24.518228-04
946684800,9039,10,psql,10.93.131.148,38291,2015-08-22 11:31:24.396255-04,,2015-08-22 11:31:24.448072-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 11:31:24.448075-04
946684800,9040,10,psql,10.93.131.148,38300,2015-08-22 11:31:24.401662-04,,2015-08-22 11:31:24.531017-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 11:31:24.531019-04
946684800,9041,10,psql,10.93.131.148,38302,2015-08-22 11:31:24.406925-04,,2015-08-22 11:31:24.516856-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 11:31:24.516859-04
946684800,9042,10,psql,10.93.131.148,38304,2015-08-22 11:31:24.407477-04,,2015-08-22 11:31:24.542094-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 11:31:24.542096-04
946684800,9035,10,pgxc,10.93.131.148,38179,2015-08-22 11:31:19.57021-04,2015-08-22 11:31:24.323834-04,2015-08-22 11:31:25.305436-04,f,COPY public.customer FROM STDIN DELIMITER AS '|',active,2015-08-22 11:31:48.459216-04
946684800,9036,10,pgxc,10.93.131.148,38261,2015-08-22 11:31:24.3238-04,2015-08-22 11:31:24.300488-04,2015-08-22 11:31:24.307653-04,f,COPY public.customer FROM STDIN DELIMITER AS '|',active,2015-08-22 11:31:24.364835-04
