# hostname;interval;timestamp;pswpin/s;pswpout/s
pgxl3;60;1440257523;0.00;0.00
pgxl3;60;1440257583;0.00;0.00
pgxl3;60;1440257643;0.00;0.00
pgxl3;60;1440257703;0.00;0.00
pgxl3;60;1440257763;0.00;0.00
pgxl3;60;1440257823;0.00;0.00
pgxl3;60;1440257883;0.00;0.00
pgxl3;60;1440257943;0.00;0.00
pgxl3;60;1440258003;0.00;0.00
pgxl3;60;1440258063;0.00;0.00
pgxl3;60;1440258123;0.00;0.00
pgxl3;60;1440258183;0.00;0.00
pgxl3;60;1440258243;0.00;0.00
pgxl3;60;1440258303;0.00;0.00
pgxl3;60;1440258363;0.00;0.00
pgxl3;60;1440258423;0.00;0.00
pgxl3;60;1440258483;0.00;0.00
pgxl3;60;1440258543;0.00;0.00
pgxl3;60;1440258603;0.00;0.00
pgxl3;60;1440258663;0.00;0.00
pgxl3;60;1440258723;0.00;0.00
pgxl3;60;1440258783;0.00;0.00
pgxl3;60;1440258843;0.00;0.00
pgxl3;60;1440258903;0.00;0.00
pgxl3;60;1440258963;0.00;0.00
pgxl3;60;1440259023;0.00;0.00
pgxl3;60;1440259083;0.00;0.00
pgxl3;60;1440259143;0.00;0.00
pgxl3;60;1440259203;0.00;0.00
pgxl3;60;1440259263;0.00;0.00
pgxl3;60;1440259323;0.00;0.00
pgxl3;60;1440259383;0.00;0.00
pgxl3;60;1440259443;0.00;0.00
pgxl3;60;1440259503;0.00;0.00
pgxl3;60;1440259563;0.00;0.00
pgxl3;60;1440259623;0.00;0.00
pgxl3;60;1440259683;0.00;0.00
pgxl3;60;1440259743;0.00;0.00
pgxl3;60;1440259803;0.00;0.00
pgxl3;60;1440259863;0.00;0.00
pgxl3;60;1440259923;0.00;0.00
pgxl3;60;1440259983;0.00;0.00
pgxl3;60;1440260043;0.00;0.00
