# hostname;interval;timestamp;frmpg/s;bufpg/s;campg/s
pgxl8;60;1440257523;73114.48;0.00;-72980.85
pgxl8;60;1440257583;-4407.08;0.00;3894.07
pgxl8;60;1440257643;-4062.17;0.00;3680.52
pgxl8;60;1440257703;-4240.22;0.00;3827.28
pgxl8;60;1440257763;-5667.52;0.00;3438.37
pgxl8;60;1440257823;-5175.52;0.00;4643.47
pgxl8;60;1440257883;-5680.45;0.00;4853.93
pgxl8;60;1440257943;-2890.00;0.00;2954.22
pgxl8;60;1440258003;559.55;0.00;2984.33
pgxl8;60;1440258063;-3083.15;0.00;2973.43
pgxl8;60;1440258123;-3002.93;0.00;2917.95
pgxl8;60;1440258183;-3008.80;0.00;2787.65
pgxl8;60;1440258243;-13328.53;0.00;9950.03
pgxl8;60;1440258303;-7791.52;0.00;4975.45
pgxl8;60;1440258363;-5009.00;0.00;6444.75
pgxl8;60;1440258423;-12232.08;0.00;5076.12
pgxl8;60;1440258483;-3127.80;0.00;5786.32
pgxl8;60;1440258543;1835.87;0.00;2106.18
pgxl8;60;1440258603;-2712.58;0.00;2037.10
pgxl8;60;1440258663;3113.12;0.00;2098.70
pgxl8;60;1440258723;-2084.08;0.00;2027.82
pgxl8;60;1440258783;-2142.97;0.00;2102.75
pgxl8;60;1440258843;-5723.72;0.00;2025.57
pgxl8;60;1440258903;904.87;0.00;2113.82
pgxl8;60;1440258963;-5660.23;0.00;2167.75
pgxl8;60;1440259023;-4872.42;0.00;2106.08
pgxl8;60;1440259083;-2258.85;0.00;2024.23
pgxl8;60;1440259143;-2147.97;0.00;2090.07
pgxl8;60;1440259203;-1878.67;0.00;2037.87
pgxl8;60;1440259263;-2213.92;0.00;2253.60
pgxl8;60;1440259323;-2259.88;0.00;2194.48
pgxl8;60;1440259383;-510.72;0.00;501.20
pgxl8;60;1440259443;-11185.85;0.00;-5903.67
pgxl8;60;1440259503;-29.86;0.00;-3503.78
pgxl8;60;1440259563;-49.15;0.00;-59566.28
pgxl8;60;1440259623;3693.50;0.00;-12610.17
pgxl8;60;1440259683;-3601.98;0.00;13927.13
pgxl8;60;1440259743;47134.93;0.00;17513.63
pgxl8;60;1440259803;9658.52;0.00;12807.63
pgxl8;60;1440259863;-14880.30;0.00;14878.07
pgxl8;60;1440259923;-14892.27;0.00;14895.53
pgxl8;60;1440259983;-12802.35;0.00;8834.85
pgxl8;60;1440260043;3973.22;0.00;2.68
