# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
pgxl8;60;1440257523;eth0;873.90;510.55;7482.04;34.91;0.00;0.00;0.00
pgxl8;60;1440257523;lo;14.80;14.80;3.16;3.16;0.00;0.00;0.00
pgxl8;60;1440257583;eth0;1253.37;775.70;10874.24;52.40;0.00;0.00;0.00
pgxl8;60;1440257583;lo;13.67;13.67;2.63;2.63;0.00;0.00;0.00
pgxl8;60;1440257643;eth0;1248.73;841.07;10765.31;56.83;0.00;0.00;0.00
pgxl8;60;1440257643;lo;13.38;13.38;2.61;2.61;0.00;0.00;0.00
pgxl8;60;1440257703;eth0;1244.90;906.52;10756.02;61.51;0.00;0.00;0.00
pgxl8;60;1440257703;lo;13.70;13.70;2.63;2.63;0.00;0.00;0.00
pgxl8;60;1440257763;eth0;1251.30;951.15;10799.64;112.05;0.00;0.00;0.00
pgxl8;60;1440257763;lo;12.08;12.08;2.35;2.35;0.00;0.00;0.00
pgxl8;60;1440257823;eth0;1257.12;919.35;10907.15;91.96;0.00;0.00;0.00
pgxl8;60;1440257823;lo;14.92;14.92;2.68;2.68;0.00;0.00;0.00
pgxl8;60;1440257883;eth0;1222.35;904.07;10562.83;80.46;0.00;0.00;0.00
pgxl8;60;1440257883;lo;12.30;12.30;2.35;2.35;0.00;0.00;0.00
pgxl8;60;1440257943;eth0;1227.67;906.18;10616.52;91.22;0.00;0.00;0.00
pgxl8;60;1440257943;lo;6.67;6.67;1.42;1.42;0.00;0.00;0.00
pgxl8;60;1440258003;eth0;1242.50;906.98;10742.69;109.88;0.00;0.00;0.00
pgxl8;60;1440258003;lo;5.93;5.93;1.26;1.26;0.00;0.00;0.00
pgxl8;60;1440258063;eth0;1240.30;903.18;10718.92;61.24;0.00;0.00;0.00
pgxl8;60;1440258063;lo;5.23;5.23;1.14;1.14;0.00;0.00;0.00
pgxl8;60;1440258123;eth0;1222.30;909.13;10533.47;61.58;0.00;0.00;0.00
pgxl8;60;1440258123;lo;12.85;12.85;2.15;2.15;0.00;0.00;0.00
pgxl8;60;1440258183;eth0;1195.23;871.13;10261.27;58.93;0.00;0.00;0.00
pgxl8;60;1440258183;lo;6.62;6.62;1.50;1.50;0.00;0.00;0.00
pgxl8;60;1440258243;eth0;1268.70;940.62;10680.03;62.83;0.00;0.00;0.00
pgxl8;60;1440258243;lo;6.80;6.80;1.70;1.70;0.00;0.00;0.00
pgxl8;60;1440258303;eth0;1053.23;872.32;8567.32;57.09;0.00;0.00;0.00
pgxl8;60;1440258303;lo;5.92;5.92;1.51;1.51;0.00;0.00;0.00
pgxl8;60;1440258363;eth0;739.97;439.37;6216.61;87.41;0.00;0.00;0.00
pgxl8;60;1440258363;lo;7.20;7.20;1.75;1.75;0.00;0.00;0.00
pgxl8;60;1440258423;eth0;941.03;581.02;7822.29;38.10;0.00;0.00;0.00
pgxl8;60;1440258423;lo;11.52;11.52;2.13;2.13;0.00;0.00;0.00
pgxl8;60;1440258483;eth0;1114.68;955.88;9000.01;62.23;0.00;0.00;0.00
pgxl8;60;1440258483;lo;15.42;15.42;2.56;2.56;0.00;0.00;0.00
pgxl8;60;1440258543;eth0;982.68;915.30;7827.39;90.17;0.00;0.00;0.00
pgxl8;60;1440258543;lo;10.38;10.38;1.92;1.92;0.00;0.00;0.00
pgxl8;60;1440258603;eth0;980.77;946.52;7816.45;61.53;0.00;0.00;0.00
pgxl8;60;1440258603;lo;4.50;4.50;1.09;1.09;0.00;0.00;0.00
pgxl8;60;1440258663;eth0;978.97;947.92;7793.21;103.35;0.00;0.00;0.00
pgxl8;60;1440258663;lo;4.48;4.48;1.08;1.08;0.00;0.00;0.00
pgxl8;60;1440258723;eth0;977.58;943.72;7790.98;61.40;0.00;0.00;0.00
pgxl8;60;1440258723;lo;7.25;7.25;1.40;1.40;0.00;0.00;0.00
pgxl8;60;1440258783;eth0;981.90;947.77;7825.68;61.61;0.00;0.00;0.00
pgxl8;60;1440258783;lo;4.18;4.18;0.99;0.99;0.00;0.00;0.00
pgxl8;60;1440258843;eth0;979.30;946.53;7801.11;61.51;0.00;0.00;0.00
pgxl8;60;1440258843;lo;4.90;4.90;1.01;1.01;0.00;0.00;0.00
pgxl8;60;1440258903;eth0;980.67;945.90;7814.97;61.44;0.00;0.00;0.00
pgxl8;60;1440258903;lo;4.58;4.58;0.99;0.99;0.00;0.00;0.00
pgxl8;60;1440258963;eth0;1048.38;1014.00;8356.43;65.83;0.00;0.00;0.00
pgxl8;60;1440258963;lo;4.53;4.53;1.05;1.05;0.00;0.00;0.00
pgxl8;60;1440259023;eth0;981.90;949.30;7826.96;61.66;0.00;0.00;0.00
pgxl8;60;1440259023;lo;7.42;7.42;1.43;1.43;0.00;0.00;0.00
pgxl8;60;1440259083;eth0;978.33;948.27;7797.55;61.59;0.00;0.00;0.00
pgxl8;60;1440259083;lo;4.25;4.25;1.04;1.04;0.00;0.00;0.00
pgxl8;60;1440259143;eth0;977.55;944.78;7792.12;61.36;0.00;0.00;0.00
pgxl8;60;1440259143;lo;4.05;4.05;0.98;0.98;0.00;0.00;0.00
pgxl8;60;1440259203;eth0;981.37;946.92;7820.98;61.49;0.00;0.00;0.00
pgxl8;60;1440259203;lo;4.27;4.27;1.02;1.02;0.00;0.00;0.00
pgxl8;60;1440259263;eth0;1047.10;1011.92;8347.12;65.68;0.00;0.00;0.00
pgxl8;60;1440259263;lo;4.22;4.22;1.04;1.04;0.00;0.00;0.00
pgxl8;60;1440259323;eth0;1051.15;1017.85;8377.06;66.14;0.00;0.00;0.00
pgxl8;60;1440259323;lo;7.37;7.37;1.52;1.52;0.00;0.00;0.00
pgxl8;60;1440259383;eth0;252.80;243.52;1997.60;16.24;0.00;0.00;0.00
pgxl8;60;1440259383;lo;4.67;4.67;1.20;1.20;0.00;0.00;0.00
pgxl8;60;1440259443;eth0;1.52;1.47;0.15;0.55;0.00;0.00;0.00
pgxl8;60;1440259443;lo;4.58;4.58;0.96;0.96;0.00;0.00;0.00
pgxl8;60;1440259503;eth0;2.28;2.10;0.23;0.61;0.00;0.00;0.00
pgxl8;60;1440259503;lo;6.38;6.38;1.28;1.28;0.00;0.00;0.00
pgxl8;60;1440259563;eth0;1.67;1.58;0.16;0.58;0.00;0.00;0.00
pgxl8;60;1440259563;lo;5.97;5.97;1.22;1.22;0.00;0.00;0.00
pgxl8;60;1440259623;eth0;1.87;1.98;0.17;0.59;0.00;0.00;0.00
pgxl8;60;1440259623;lo;13.42;13.42;2.25;2.25;0.00;0.00;0.00
pgxl8;60;1440259683;eth0;1.75;1.77;0.16;0.57;0.00;0.00;0.00
pgxl8;60;1440259683;lo;13.82;13.82;2.31;2.31;0.00;0.00;0.00
pgxl8;60;1440259743;eth0;2.00;2.10;0.17;0.60;0.00;0.00;0.00
pgxl8;60;1440259743;lo;12.80;12.80;2.16;2.16;0.00;0.00;0.00
pgxl8;60;1440259803;eth0;2.72;2.67;0.32;0.76;0.00;0.00;0.00
pgxl8;60;1440259803;lo;5.83;5.83;1.36;1.36;0.00;0.00;0.00
pgxl8;60;1440259863;eth0;1.58;1.32;0.14;0.54;0.00;0.00;0.00
pgxl8;60;1440259863;lo;4.05;4.05;0.96;0.96;0.00;0.00;0.00
pgxl8;60;1440259923;eth0;1.52;1.28;0.13;0.54;0.00;0.00;0.00
pgxl8;60;1440259923;lo;11.53;11.53;1.94;1.94;0.00;0.00;0.00
pgxl8;60;1440259983;eth0;1.72;1.43;0.15;0.53;0.00;0.00;0.00
pgxl8;60;1440259983;lo;14.08;14.08;2.30;2.30;0.00;0.00;0.00
pgxl8;60;1440260043;eth0;1.70;1.48;0.14;0.56;0.00;0.00;0.00
pgxl8;60;1440260043;lo;5.75;5.75;1.24;1.24;0.00;0.00;0.00
