ctime,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,823,0,1087,37384,394121,9603,0,0,0
946684800,6,16969,18,227779444,488338757,10011099118,1431225282,367479312,406,759833
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,825,0,1092,37454,395123,9614,0,0,0
946684800,6,16990,18,227779583,488341826,10011104676,1431226594,367479313,406,759833
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,827,0,1092,37529,396125,9625,0,0,0
946684800,13,17069,18,228480787,490174282,10014548156,1432165472,367573849,406,759833
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,829,0,1092,37604,397127,9636,0,0,0
946684800,21,17143,18,228775807,493027873,10020470552,1436763243,367573849,406,759833
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,831,0,1092,37679,398129,9647,0,0,0
946684800,21,17160,18,228775807,493030928,10020475629,1436764444,367573849,406,759833
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,833,0,1092,37754,399131,9658,0,0,0
946684800,21,17177,18,228775807,493034091,10020481172,1436765741,367573849,406,759833
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,835,0,1092,37829,400133,9669,0,0,0
946684800,20,17189,18,228775807,493036982,10020486587,1436766912,367573849,406,759833
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,837,0,1092,37904,401135,9680,0,0,0
946684800,20,17212,18,228775807,493040747,10020492828,1436768535,367573849,406,759833
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,839,0,1092,37979,402137,9691,0,0,0
946684800,21,17225,18,228775807,493043333,10020497685,1436769517,367573849,406,759833
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,841,0,1092,38054,403139,9702,0,0,0
946684800,19,17238,18,228775807,493046446,10020503204,1436770792,367573849,406,759833
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,843,0,1092,38129,404141,9713,0,0,0
946684800,22,17261,18,228775807,493049684,10020508783,1436772122,367573849,406,759833
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,845,0,1092,38204,405143,9724,0,0,0
946684800,20,17278,18,228775807,493052847,10020514326,1436773419,367573849,406,759833
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,847,0,1092,38279,406145,9735,0,0,0
946684800,20,17291,18,228775807,493055960,10020519845,1436774694,367573849,406,759833
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,849,0,1092,38354,407147,9746,0,0,0
946684800,20,17314,18,228775807,493059725,10020526086,1436776317,367573849,406,759833
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,851,0,1092,38429,408149,9757,0,0,0
946684800,18,17321,18,228775807,493062236,10020530907,1436777266,367573849,406,759833
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,0,0,0,0,0,0,0,0,0
946684800,0,853,0,1092,38504,409151,9768,0,0,0
946684800,21,17346,18,228775807,493065499,10020536498,1436778607,367573849,406,759833
