Linux 3.10.0-229.el7.x86_64 (pgxl2) 	08/22/2015 	_x86_64_	(4 CPU)

12:15:30 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
12:16:30 PM     all      1.14      0.00      1.15      9.04      0.08     88.59
12:17:30 PM     all      4.36      0.00      3.13     15.32      0.11     77.08
12:18:30 PM     all     23.70      0.00      2.45      4.22      0.16     69.47
12:19:30 PM     all     13.14      0.00      0.70      2.04      0.08     84.04
12:20:30 PM     all     13.35      0.00      0.64      0.02      0.06     85.93
12:21:30 PM     all     13.58      0.00      0.59      0.00      0.07     85.76
12:22:30 PM     all     13.50      0.00      0.62      0.01      0.07     85.79
12:23:30 PM     all     13.98      0.00      0.63      0.01      0.07     85.31
12:24:30 PM     all     14.43      0.00      0.68      0.20      0.07     84.61
12:25:30 PM     all     14.60      0.00      0.83      0.27      0.11     84.19
12:26:30 PM     all     14.38      0.00      0.71      0.84      0.08     84.00
12:27:30 PM     all     13.94      0.00      0.84      2.22      0.08     82.93
12:28:30 PM     all     14.33      0.00      1.47      2.20      0.25     81.76
12:29:30 PM     all      1.88      0.00      0.33     20.73      0.14     76.92
12:30:30 PM     all      4.30      0.00      0.95     21.04      0.19     73.52
12:31:30 PM     all     30.40      0.00      0.92      0.44      0.04     68.19
12:32:30 PM     all     34.72      0.00      4.13      6.92      0.34     53.88
12:33:30 PM     all     40.76      0.00      4.75      8.29      0.41     45.79
12:34:30 PM     all     41.88      0.00      4.94      7.15      0.39     45.64
12:35:30 PM     all     41.68      0.00      4.79      6.34      0.38     46.82
12:36:30 PM     all     14.59      0.00      4.76     12.16      0.16     68.32
12:37:30 PM     all     26.72      0.00      8.58      9.95      0.19     54.56
12:38:30 PM     all     18.34      0.00      1.50      7.51      0.02     72.63
12:39:30 PM     all     23.23      0.00      0.95      1.78      0.01     74.03
12:40:30 PM     all      6.21      0.00      2.30     16.41      0.05     75.03
12:41:30 PM     all      9.35      0.00      2.26     18.03      0.17     70.19
12:42:30 PM     all      7.39      0.00      3.28     14.65      0.32     74.37
12:43:30 PM     all      3.17      0.00      1.69     18.73      0.14     76.26
12:44:30 PM     all      5.97      0.00      2.49     15.61      0.10     75.83
12:45:30 PM     all      7.34      0.00      1.93     14.28      0.11     76.34
12:46:30 PM     all      1.99      0.00      0.54      0.43      0.03     97.02
12:47:30 PM     all     14.49      0.00      1.65      0.11      0.10     83.65
12:48:30 PM     all     19.68      0.00      1.33      2.13      0.02     76.84
12:49:30 PM     all     10.72      0.00      1.61      1.66      0.09     85.92
12:50:30 PM     all      4.62      0.00      1.10     12.33      0.09     81.85
12:51:30 PM     all      7.33      0.00      1.09      1.74      0.01     89.83
12:52:30 PM     all     11.98      0.00      5.34      2.91      0.06     79.71
12:53:30 PM     all     22.08      0.00      0.54      0.02      0.01     77.36
12:54:30 PM     all     16.44      0.00      1.92      6.29      0.03     75.33
12:55:30 PM     all      5.06      0.00      2.11     14.59      0.16     78.08
12:56:30 PM     all     16.90      0.00      2.51      6.10      0.10     74.40
