# hostname;interval;timestamp;pgpgin/s;pgpgout/s;fault/s;majflt/s;pgfree/s;pgscank/s;pgscand/s;pgsteal/s;%vmeff
pgxl3;60;1440260190;499.28;25936.78;7986.47;0.05;4721.95;0.00;0.00;0.00;0.00
pgxl3;60;1440260250;44472.07;5028.15;31837.82;0.05;18814.72;15927.05;102.40;16016.32;99.92
pgxl3;60;1440260310;6451.27;9151.73;16534.07;0.18;17734.30;4837.32;0.00;4837.32;100.00
pgxl3;60;1440260370;2.80;2600.43;2772.23;0.00;4259.77;0.00;0.00;0.00;0.00
pgxl3;60;1440260430;43.00;3.08;2526.43;0.92;4268.22;0.00;0.00;0.00;0.00
pgxl3;60;1440260490;153.47;3.63;2494.48;1.48;4258.53;0.00;0.00;0.00;0.00
pgxl3;60;1440260550;19.33;236.18;2451.17;0.45;4302.85;0.00;0.00;0.00;0.00
pgxl3;60;1440260610;1.40;174.58;2402.87;0.00;4272.02;0.00;0.00;0.00;0.00
pgxl3;60;1440260670;149.67;56.68;2374.12;0.00;4528.07;275.35;0.00;275.35;100.00
pgxl3;60;1440260730;630.67;2.02;2329.57;0.00;4725.25;525.88;0.00;525.88;100.00
pgxl3;60;1440260790;5724.20;2.10;2293.97;0.20;6108.37;1962.28;0.00;1961.88;99.98
pgxl3;60;1440260850;15712.40;2.52;2206.70;0.15;8197.92;4282.25;0.00;4282.25;100.00
pgxl3;60;1440260910;15069.47;2.57;2167.32;0.00;8086.85;4210.35;0.00;4210.32;100.00
pgxl3;60;1440260970;20061.20;2.73;2894.17;0.00;7550.83;6965.55;0.00;6965.55;100.00
pgxl3;60;1440261030;29763.47;121.87;9853.75;0.00;9452.47;8260.83;136.53;8392.10;99.94
pgxl3;60;1440261090;15.33;3901.50;6309.32;0.00;4468.22;2504.22;34.13;2538.35;100.00
pgxl3;60;1440261150;25527.53;4.57;16695.47;0.00;19501.93;0.00;0.00;0.00;0.00
pgxl3;60;1440261210;25442.67;2.30;18325.92;0.00;16728.60;4334.33;0.00;4334.33;100.00
pgxl3;60;1440261270;21346.27;2.90;16188.85;0.00;17940.22;5236.23;0.00;5235.65;99.99
pgxl3;60;1440261330;17688.67;44.55;15875.30;0.00;16925.70;4322.07;0.00;4322.07;100.00
pgxl3;60;1440261390;7352.13;3.90;19709.35;0.03;14282.92;2100.03;142.40;2242.43;100.00
pgxl3;60;1440261450;32745.60;4.22;24443.23;0.02;40662.75;11919.08;17.07;11936.15;100.00
pgxl3;60;1440261510;15480.67;17045.02;4418.47;0.02;11468.88;10686.13;154.67;10840.80;100.00
pgxl3;60;1440261570;5744.13;10339.98;574.92;0.00;4353.08;3966.65;0.00;3966.65;100.00
pgxl3;60;1440261630;39780.80;8391.75;6296.17;1.10;25039.35;11190.30;85.33;11275.33;100.00
pgxl3;60;1440261690;28142.47;18767.00;10804.05;0.02;21030.48;3336.52;85.33;3421.83;100.00
pgxl3;60;1440261750;34829.40;4186.68;20763.53;0.00;7706.35;3640.10;0.00;3640.10;100.00
pgxl3;60;1440261810;50553.27;22439.83;331.15;0.00;17470.00;17152.00;0.00;17151.83;100.00
pgxl3;60;1440261870;23607.00;8442.38;483.38;0.02;7636.67;7225.10;0.00;7225.10;100.00
pgxl3;60;1440261930;28176.40;267.87;219.55;0.00;12125.17;3109.18;0.00;3109.18;100.00
pgxl3;60;1440261990;1.73;163.02;787.62;0.00;645.27;0.00;0.00;0.00;0.00
pgxl3;60;1440262050;2.33;2128.27;12952.77;0.02;8063.12;0.00;0.00;0.00;0.00
pgxl3;60;1440262110;2409.87;7230.73;876.98;0.00;4965.55;0.00;0.00;0.00;0.00
pgxl3;60;1440262170;1406.27;4359.27;11729.87;0.07;2558.13;0.00;0.00;0.00;0.00
pgxl3;60;1440262230;29997.93;4.63;92203.73;0.10;6280.53;1884.50;17.07;1901.57;100.00
pgxl3;60;1440262290;4467.07;4.25;204.62;0.00;2968.12;2532.53;0.00;2532.53;100.00
pgxl3;60;1440262350;6561.67;14765.07;44417.43;0.00;8684.95;3179.63;0.00;3179.63;100.00
pgxl3;60;1440262410;4.53;4.67;770.45;0.00;1700.88;0.00;0.00;0.00;0.00
pgxl3;60;1440262470;14387.07;25892.88;204.95;0.00;8125.58;8038.75;0.00;8034.55;99.95
pgxl3;60;1440262530;27836.40;6551.38;1646.87;0.07;18045.58;4498.65;0.00;4498.65;100.00
pgxl3;60;1440262590;15140.27;4.30;1135.70;0.00;1439.70;0.00;0.00;0.00;0.00
