ctime,numbackends,xact_commit,xact_rollback,blks_read,blks_hit,tup_returned,tup_fetched,tup_inserted,tup_updated,tup_deleted
1440262684.49154,0,0,0,0,0,0,0,0,0,0
1440262684.49154,0,0,0,0,0,0,0,0,0,0
1440262684.49154,0,1152,0,663,44146,437004,11665,0,0,0
1440262684.49154,4,12016,9,9980,2053669,2798325,1041326,2605630669,617,6759666
1440262744.43787,0,0,0,0,0,0,0,0,0,0
1440262744.43787,0,0,0,0,0,0,0,0,0,0
1440262744.43787,0,1154,0,668,44216,438006,11676,0,0,0
1440262744.43787,10,12461,9,10325,2173064,2896565,1135238,2605630771,623,6759756
1440262804.45121,0,0,0,0,0,0,0,0,0,0
1440262804.45121,0,0,0,0,0,0,0,0,0,0
1440262804.45121,0,1156,0,668,44291,439008,11687,0,0,0
1440262804.45121,10,12476,9,10325,2176146,2901986,1136512,2605630771,623,6759756
1440262864.47388,0,0,0,0,0,0,0,0,0,0
1440262864.47388,0,0,0,0,0,0,0,0,0,0
1440262864.47388,0,1158,0,668,44366,440010,11698,0,0,0
1440262864.47388,10,12495,9,10325,2179278,2907431,1137808,2605630771,623,6759756
1440262924.48623,0,0,0,0,0,0,0,0,0,0
1440262924.48623,0,0,0,0,0,0,0,0,0,0
1440262924.48623,0,1160,0,668,44441,441012,11709,0,0,0
1440262924.48623,10,12513,9,10325,2182607,2912968,1139197,2605630771,623,6759756
1440262984.48689,0,0,0,0,0,0,0,0,0,0
1440262984.48689,0,0,0,0,0,0,0,0,0,0
1440262984.48689,0,1162,0,668,44516,442014,11720,0,0,0
1440262984.48689,9,12536,9,10325,2186607,2918975,1141054,2605630772,624,6759756
1440263044.50286,0,0,0,0,0,0,0,0,0,0
1440263044.50286,0,0,0,0,0,0,0,0,0,0
1440263044.50286,0,1164,0,668,44591,443016,11731,0,0,0
1440263044.50286,11,12582,9,10325,2194433,2927830,1145751,2605630775,627,6759756
1440263104.51796,0,0,0,0,0,0,0,0,0,0
1440263104.51796,0,0,0,0,0,0,0,0,0,0
1440263104.51796,0,1166,0,668,44666,444018,11742,0,0,0
1440263104.51796,9,12604,9,10325,2197812,2933391,1147162,2605630775,627,6759756
1440263164.5275,0,0,0,0,0,0,0,0,0,0
1440263164.5275,0,0,0,0,0,0,0,0,0,0
1440263164.5275,0,1168,0,668,44741,445020,11753,0,0,0
1440263164.5275,8,12633,9,10325,2203714,2940954,1150212,2605630777,629,6759756
1440263224.53924,0,0,0,0,0,0,0,0,0,0
1440263224.53924,0,0,0,0,0,0,0,0,0,0
1440263224.53924,0,1170,0,668,44816,446022,11764,0,0,0
1440263224.53924,8,12650,9,10325,2206714,2945929,1151401,2605630777,629,6759756
1440263284.56014,0,0,0,0,0,0,0,0,0,0
1440263284.56014,0,0,0,0,0,0,0,0,0,0
1440263284.56014,0,1172,0,668,44891,447024,11775,0,0,0
1440263284.56014,9,12676,9,10325,2211231,2952824,1153783,2605630778,630,6759756
1440263344.57525,0,0,0,0,0,0,0,0,0,0
1440263344.57525,0,0,0,0,0,0,0,0,0,0
1440263344.57525,0,1174,0,668,44966,448026,11786,0,0,0
1440263344.57525,11,12706,9,10325,2215612,2958606,1155774,2605630779,631,6759756
1440263404.59174,0,0,0,0,0,0,0,0,0,0
1440263404.59174,0,0,0,0,0,0,0,0,0,0
1440263404.59174,0,1176,0,668,45041,449028,11797,0,0,0
1440263404.59174,11,12723,9,10325,2218826,2964497,1157155,2605630779,631,6759756
1440263464.60471,0,0,0,0,0,0,0,0,0,0
1440263464.60471,0,0,0,0,0,0,0,0,0,0
1440263464.60471,0,1178,0,668,45116,450030,11808,0,0,0
1440263464.60471,12,12762,9,10325,2225729,2972112,1160977,2605630782,634,6759756
1440263524.61828,0,0,0,0,0,0,0,0,0,0
1440263524.61828,0,0,0,0,0,0,0,0,0,0
1440263524.61828,0,1180,0,668,45191,451032,11819,0,0,0
1440263524.61828,9,12788,9,10325,2230068,2978328,1163042,2605630783,635,6759756
1440263584.61645,0,0,0,0,0,0,0,0,0,0
1440263584.61645,0,0,0,0,0,0,0,0,0,0
1440263584.61645,0,1182,0,668,45266,452034,11830,0,0,0
1440263584.61645,10,12837,9,10326,2238721,2988273,1168449,2605630816,640,6759786
1440263644.62839,0,0,0,0,0,0,0,0,0,0
1440263644.62839,0,0,0,0,0,0,0,0,0,0
1440263644.62839,0,1184,0,668,45341,453036,11841,0,0,0
1440263644.62839,10,12890,9,10326,2246380,2996422,1172438,2605630820,644,6759786
1440263704.64181,0,0,0,0,0,0,0,0,0,0
1440263704.64181,0,0,0,0,0,0,0,0,0,0
1440263704.64181,0,1186,0,668,45416,454038,11852,0,0,0
1440263704.64181,10,12919,9,10326,2250696,3002516,1174380,2605630821,645,6759786
1440263764.66284,0,0,0,0,0,0,0,0,0,0
1440263764.66284,0,0,0,0,0,0,0,0,0,0
1440263764.66284,0,1188,0,668,45491,455040,11863,0,0,0
1440263764.66284,11,12946,9,10326,2255579,3008622,1176697,2605630823,647,6759786
1440263824.67203,0,0,0,0,0,0,0,0,0,0
1440263824.67203,0,0,0,0,0,0,0,0,0,0
1440263824.67203,0,1190,0,668,45566,456042,11874,0,0,0
1440263824.67203,9,12973,9,10326,2260079,3015373,1178935,2605630824,648,6759786
1440263884.68399,0,0,0,0,0,0,0,0,0,0
