ctime,relname,pid,mode,granted
946684800,pg_index,14059,AccessShareLock,t
946684800,pg_index,14060,AccessShareLock,t
946684800,pg_index_indexrelid_index,14060,AccessShareLock,t
946684800,pg_index_indexrelid_index,14059,AccessShareLock,t
946684800,pg_index_indrelid_index,14060,AccessShareLock,t
946684800,pg_index_indrelid_index,14059,AccessShareLock,t
946684800,pg_locks,14058,AccessShareLock,t
946684800,pg_namespace,14059,AccessShareLock,t
946684800,pg_namespace,14060,AccessShareLock,t
946684800,pg_namespace_nspname_index,14060,AccessShareLock,t
946684800,pg_namespace_nspname_index,14059,AccessShareLock,t
946684800,pg_namespace_oid_index,14059,AccessShareLock,t
946684800,pg_namespace_oid_index,14060,AccessShareLock,t
946684800,pg_stat_all_indexes,14060,AccessShareLock,t
946684800,pg_stat_all_tables,14059,AccessShareLock,t
946684800,pg_statio_all_indexes,14060,AccessShareLock,t
946684800,pg_statio_all_tables,14059,AccessShareLock,t
946684800,customer,14074,AccessShareLock,t
946684800,customer,14073,AccessShareLock,t
946684800,customer,14072,AccessShareLock,t
946684800,customer,14071,AccessShareLock,t
946684800,customer,14070,AccessShareLock,t
946684800,customer,14069,AccessShareLock,t
946684800,customer,14068,AccessShareLock,t
946684800,customer,14067,AccessShareLock,t
946684800,customer,14066,AccessShareLock,t
946684800,customer,14062,AccessShareLock,t
946684800,customer,14061,AccessShareLock,t
946684800,customer,14075,AccessShareLock,t
946684800,customer,14076,AccessShareLock,t
946684800,customer,14077,AccessShareLock,t
946684800,customer,14078,AccessShareLock,t
946684800,customer,14080,AccessShareLock,t
946684800,customer,14079,AccessShareLock,t
946684800,customer,14081,AccessShareLock,t
946684800,customer,14082,AccessShareLock,t
946684800,lineitem,14066,AccessShareLock,t
946684800,lineitem,14083,RowExclusiveLock,t
946684800,lineitem,14082,AccessShareLock,t
946684800,lineitem,14081,AccessShareLock,t
946684800,lineitem,14079,AccessShareLock,t
946684800,lineitem,14080,AccessShareLock,t
946684800,lineitem,14078,AccessShareLock,t
946684800,lineitem,14077,AccessShareLock,t
946684800,lineitem,14076,AccessShareLock,t
946684800,lineitem,14075,AccessShareLock,t
946684800,lineitem,14074,AccessShareLock,t
946684800,lineitem,14073,AccessShareLock,t
946684800,lineitem,14072,AccessShareLock,t
946684800,lineitem,14071,AccessShareLock,t
946684800,lineitem,14070,AccessShareLock,t
946684800,lineitem,14069,AccessShareLock,t
946684800,lineitem,14068,AccessShareLock,t
946684800,lineitem,14067,AccessShareLock,t
946684800,lineitem,14065,AccessShareLock,t
946684800,lineitem,14062,AccessShareLock,t
946684800,lineitem,14063,AccessShareLock,t
946684800,lineitem,14064,AccessShareLock,t
946684800,lineitem,14061,AccessShareLock,t
946684800,lineitem_l_orderkey_idx,14083,RowExclusiveLock,t
946684800,lineitem_l_orderkey_idx_l_returnflag,14061,AccessShareLock,t
946684800,lineitem_l_orderkey_idx_l_returnflag,14083,RowExclusiveLock,t
946684800,lineitem_l_orderkey_idx_part1,14065,AccessShareLock,t
946684800,lineitem_l_orderkey_idx_part1,14064,AccessShareLock,t
946684800,lineitem_l_orderkey_idx_part1,14083,RowExclusiveLock,t
946684800,lineitem_l_orderkey_idx_part2,14083,RowExclusiveLock,t
946684800,lineitem_l_orderkey_l_linenumber_l_shipdate_idx,14083,RowExclusiveLock,t
946684800,lineitem_l_partkey_l_quantity_l_shipmode_idx,14083,RowExclusiveLock,t
946684800,lineitem_l_partkey_l_quantity_l_shipmode_idx,14075,AccessShareLock,t
946684800,lineitem_l_partkey_l_quantity_l_shipmode_idx,14076,AccessShareLock,t
946684800,lineitem_l_partkey_l_quantity_l_shipmode_idx,14077,AccessShareLock,t
946684800,lineitem_l_partkey_l_quantity_l_shipmode_idx,14078,AccessShareLock,t
946684800,lineitem_l_partkey_l_quantity_l_shipmode_idx,14080,AccessShareLock,t
946684800,lineitem_l_partkey_l_quantity_l_shipmode_idx,14079,AccessShareLock,t
946684800,lineitem_l_partkey_l_quantity_l_shipmode_idx,14081,AccessShareLock,t
946684800,lineitem_l_partkey_l_quantity_l_shipmode_idx,14082,AccessShareLock,t
946684800,lineitem_l_shipdate_l_suppkey__idx,14083,RowExclusiveLock,t
946684800,lineitem_l_shipdate_l_suppkey__idx,14063,AccessShareLock,t
946684800,nation,14075,AccessShareLock,t
946684800,nation,14061,AccessShareLock,t
946684800,nation,14064,AccessShareLock,t
946684800,nation,14062,AccessShareLock,t
946684800,nation,14065,AccessShareLock,t
946684800,nation,14066,AccessShareLock,t
946684800,nation,14067,AccessShareLock,t
946684800,nation,14068,AccessShareLock,t
946684800,nation,14069,AccessShareLock,t
