ctime,pid,usesysid,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
946684800,28540,10,pgxc,10.93.131.148,52578,2015-08-22 12:58:04.261353-04,,2015-08-22 12:58:04.443139-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-22 12:58:04.445168-04
946684800,28559,10,psql,10.93.131.148,52616,2015-08-22 12:58:04.471894-04,,2015-08-22 12:58:04.497117-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 12:58:04.49712-04
946684800,28558,10,psql,10.93.131.148,52609,2015-08-22 12:58:04.464831-04,,2015-08-22 12:58:04.485785-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 12:58:04.485787-04
946684800,28561,10,psql,10.93.131.148,52630,2015-08-22 12:58:04.48167-04,,2015-08-22 12:58:04.495833-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 12:58:04.495835-04
946684800,28562,10,psql,10.93.131.148,52635,2015-08-22 12:58:04.486414-04,,2015-08-22 12:58:04.49006-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 12:58:04.490062-04
946684800,28560,10,psql,10.93.131.148,52617,2015-08-22 12:58:04.472108-04,,2015-08-22 12:58:04.497125-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 12:58:04.497129-04
946684800,28540,10,pgxc,10.93.131.148,52578,2015-08-22 12:58:04.261353-04,2015-08-22 12:58:14.401091-04,2015-08-22 12:58:14.445859-04,f,Remote Subplan,active,2015-08-22 12:58:14.812993-04
946684800,28571,10,pgxc,10.93.131.148,52783,2015-08-22 12:58:15.078708-04,2015-08-22 12:58:14.933419-04,2015-08-22 12:58:14.938355-04,f,Remote Subplan,active,2015-08-22 12:58:15.111717-04
946684800,28572,10,pgxc,10.93.131.148,52787,2015-08-22 12:58:15.114855-04,2015-08-22 12:58:15.147195-04,2015-08-22 12:58:15.167817-04,f,Remote Subplan,active,2015-08-22 12:58:15.404856-04
946684800,28575,10,pgxc,10.93.131.148,52812,2015-08-22 12:58:15.76271-04,2015-08-22 12:58:15.161512-04,2015-08-22 12:58:15.164603-04,f,Remote Subplan,active,2015-08-22 12:58:15.792547-04
